Ciudad,Pais,Continente,longitud,latitud,dstOffset,rawOffset,timeZoneId,timeZoneName
Algiers,Algeria,Africa,3.0587561,36.753768,0,3600,Africa/Algiers,Central European Standard Time
Luanda,Angola,Africa,13.2301756,-8.8146556,0,3600,Africa/Luanda,West Africa Standard Time
Buenos Aires,Argentina,America,-58.3815591,-34.6036844,0,-10800,America/Buenos_Aires,Argentina Standard Time
Canberra,Australia,Oceania,149.1310324,-35.2801846,0,36000,Australia/Sydney,Australian Eastern Standard Time
Brussels,Belgium,Europe,4.3571696,50.8476424,3600,3600,Europe/Brussels,Central European Summer Time
Brasilia,Brazil,America,-47.89188739999999,-15.7975154,0,-10800,America/Sao_Paulo,Brasilia Standard Time
Beijing,China,Asia,116.407395,39.904211,0,28800,Asia/Shanghai,China Standard Time
Bogota,Colombia,America,-74.072092,4.710988599999999,0,-18000,America/Bogota,Colombia Standard Time
Quito,Ecuador,America,-78.4678382,-0.1806532,0,-18000,America/Guayaquil,Ecuador Time
Paris,France,Europe,2.3513765,48.8575475,3600,3600,Europe/Paris,Central European Summer Time
Berlin,Germany,Europe,13.404954,52.52000659999999,3600,3600,Europe/Berlin,Central European Summer Time
New Delhi,India,Asia,77.2088282,28.6139298,0,19800,Asia/Calcutta,India Standard Time
Roma,Italy,Europe,12.4822025,41.8967068,3600,3600,Europe/Rome,Central European Summer Time
Tokyo,Japan,Asia,139.650027,35.6764225,0,32400,Asia/Tokyo,Japan Standard Time
Mexico City,Mexico,America,-99.133208,19.4326077,0,-21600,America/Mexico_City,Central Standard Time
Rabat,Morocco,Africa,-6.8538748,34.0083637,3600,0,Africa/Casablanca,GMT+01:00
Lima,Peru,America,-77.04308859999999,-12.0466888,0,-18000,America/Lima,Peru Standard Time
Lisbon,Portugal,Europe,-9.1393366,38.7222524,3600,0,Europe/Lisbon,Western European Summer Time
Moscow,Russia,Europe,37.6173,55.755826,0,10800,Europe/Moscow,Moscow Standard Time
Pretoria,South Africa,Africa,28.1913815,-25.7565723,0,7200,Africa/Johannesburg,South Africa Standard Time
Madrid,Spain,Europe,-3.7037902,40.4167754,3600,3600,Europe/Madrid,Central European Summer Time
London,United Kingdom,Europe,-0.1275862,51.5072178,3600,0,Europe/London,British Summer Time
Washington D.C.,United States,America,-77.0368707,38.9071923,3600,-18000,America/New_York,Eastern Daylight Time
Almendralejo,Spain,Europe,-6.4058423,38.6914575,3600,3600,Europe/Madrid,Central European Summer Time
Tel Aviv,Israel,Asia,34.78176759999999,32.0852999,3600,7200,Asia/Jerusalem,Israel Daylight Time
