Ciudad,Pais,Continente,longitud,latitud,dstOffset,rawOffset,timeZoneId,timeZoneName
Kabul,Afghanistan,Asia,69.207486,34.5553494,0,16200,Asia/Kabul,Afghanistan Time
Tirana,Albania,Europe,19.8186982,41.3275459,3600,3600,Europe/Tirane,Central European Summer Time
Algiers,Algeria,Africa,3.0587561,36.753768,0,3600,Africa/Algiers,Central European Standard Time
Andorra la Vella,Andorra,Europe,1.5218355,42.50631740000001,3600,3600,Europe/Andorra,Central European Summer Time
Luanda,Angola,Africa,13.2301756,-8.8146556,0,3600,Africa/Luanda,West Africa Standard Time
St. John's,Antigua and Barbuda,America,-61.84677199999999,17.1274104,0,-14400,America/Antigua,Atlantic Standard Time
Buenos Aires,Argentina,America,-58.3815591,-34.6036844,0,-10800,America/Buenos_Aires,Argentina Standard Time
Yerevan,Armenia,Asia,44.515209,40.1872023,0,14400,Asia/Yerevan,Armenia Standard Time
Canberra,Australia,Oceania,149.1310324,-35.2801846,0,36000,Australia/Sydney,Australian Eastern Standard Time
Vienna,Austria,Europe,16.3713095,48.20806959999999,3600,3600,Europe/Vienna,Central European Summer Time
Baku,Azerbaijan,Asia,49.8670924,40.40926169999999,0,14400,Asia/Baku,Azerbaijan Standard Time
Nassau,Bahamas,America,-77.3503609,25.0443312,3600,-18000,America/Nassau,Eastern Daylight Time
Manama,Bahrain,Asia,50.5875935,26.2235305,0,10800,Asia/Bahrain,Arabian Standard Time
Dhaka,Bangladesh,Asia,90.4152376,23.804093,0,21600,Asia/Dhaka,Bangladesh Standard Time
Bridgetown,Barbados,America,-59.6132388,13.0971177,0,-14400,America/Barbados,Atlantic Standard Time
Minsk,Belarus,Europe,27.558972,53.9006011,0,10800,Europe/Minsk,Moscow Standard Time
Brussels,Belgium,Europe,4.3571696,50.8476424,3600,3600,Europe/Brussels,Central European Summer Time
Belmopan,Belize,America,-88.7590201,17.2510114,0,-21600,America/Belize,Central Standard Time
Porto Novo,Benin,Africa,2.6203212,6.478623799999999,0,3600,Africa/Porto-Novo,West Africa Standard Time
Thimphu,Bhutan,Asia,89.6386108,27.471586,0,21600,Asia/Thimphu,Bhutan Time
Sucre,Bolivia,America,-65.2592128,-19.035345,0,-14400,America/La_Paz,Bolivia Time
Sarajevo,Bosnia and Herzegovina,Europe,18.4130763,43.8562586,3600,3600,Europe/Sarajevo,Central European Summer Time
Gaborone,Botswana,Africa,25.9077037,-24.6580003,0,7200,Africa/Gaborone,Central Africa Time
Brasilia,Brazil,America,-47.89188739999999,-15.7975154,0,-10800,America/Sao_Paulo,Brasilia Standard Time
Bandar Seri Begawan,Brunei,Asia,114.9419021,4.8923413,0,28800,Asia/Brunei,Brunei Darussalam Time
Sofia,Bulgaria,Europe,23.3218675,42.6977082,3600,7200,Europe/Sofia,Eastern European Summer Time
Ouagadougou,Burkina Faso,Africa,-1.5196603,12.3714277,0,0,Africa/Ouagadougou,Greenwich Mean Time
Bujumbura,Burundi,Africa,29.3598782,-3.361378,0,7200,Africa/Bujumbura,Central Africa Time
Phnom Penh,Cambodia,Asia,104.9282099,11.5563738,0,25200,Asia/Phnom_Penh,Indochina Time
Yaoundé,Cameroon,Africa,11.5202292,3.8616853,0,3600,Africa/Douala,West Africa Standard Time
Ottawa,Canada,America,-75.7003397,45.4200572,3600,-18000,America/Toronto,Eastern Daylight Time
Praia,Cape Verde,Africa,-23.5073437,14.919775,0,-3600,Atlantic/Cape_Verde,Cape Verde Standard Time
Bangui,Central African Republic,Africa,18.5827765,4.362156,0,3600,Africa/Bangui,West Africa Standard Time
N'Djamena,Chad,Africa,15.0502875,12.1191352,0,3600,Africa/Ndjamena,West Africa Standard Time
Santiago,Chile,America,-70.6692655,-33.4488897,0,-14400,America/Santiago,Chile Standard Time
Beijing,China,Asia,116.407395,39.904211,0,28800,Asia/Shanghai,China Standard Time
Bogota,Colombia,America,-74.072092,4.710988599999999,0,-18000,America/Bogota,Colombia Standard Time
Moroni,Comoros,Africa,43.2517012,-11.7061223,0,10800,Indian/Comoro,East Africa Time
San José,Costa Rica,America,-84.0907246,9.9280694,0,-21600,America/Costa_Rica,Central Standard Time
Zagreb,Croatia,Europe,15.981919,45.8150108,3600,3600,Europe/Zagreb,Central European Summer Time
Havana,Cuba,America,-82.3665956,23.1135925,3600,-18000,America/Havana,Cuba Daylight Time
Nicosia,Cyprus,Europe,33.38227639999999,35.1855659,3600,7200,Asia/Nicosia,Eastern European Summer Time
Prague,Czech Republic,Europe,14.4378005,50.0755381,3600,3600,Europe/Prague,Central European Summer Time
Kinshasa,Democratic Republic of Congo,Africa,15.310528,-4.3032527,0,3600,Africa/Kinshasa,West Africa Standard Time
Copenagen,Denmark,Europe,12.5683371,55.6760968,3600,3600,Europe/Copenhagen,Central European Summer Time
Djibouti,Djibouti,Africa,42.590275,11.825138,0,10800,Africa/Djibouti,East Africa Time
Roseau,Dominica,America,-61.37935539999999,15.3091676,0,-14400,America/Dominica,Atlantic Standard Time
Santo Domingo,Dominican Republic,America,-69.93609239999999,18.4626178,0,-14400,America/Santo_Domingo,Atlantic Standard Time
Dili,East Timor,Oceania,125.5798233,-8.5563336,0,32400,Asia/Dili,East Timor Time
Quito,Ecuador,America,-78.4678382,-0.1806532,0,-18000,America/Guayaquil,Ecuador Time
Cairo,Egypt,Africa,31.2357116,30.0444196,3600,7200,Africa/Cairo,Eastern European Summer Time
San Salvador,El Salvador,America,-89.2181911,13.6929403,0,-21600,America/El_Salvador,Central Standard Time
Malabo,Equatorial Guinea,Africa,8.7821344,3.7549606,0,3600,Africa/Malabo,West Africa Standard Time
Asmara,Eritrea,Africa,38.9300394,15.3317304,0,10800,Africa/Asmera,East Africa Time
Tallinn,Estonia,Europe,24.7535746,59.43696079999999,3600,7200,Europe/Tallinn,Eastern European Summer Time
Addis Ababa,Ethiopia,Africa,38.7524635,9.0191936,0,10800,Africa/Addis_Ababa,East Africa Time
Suva,Fiji,Oceania,178.4232507,-18.1405049,0,43200,Pacific/Fiji,Fiji Standard Time
Helsinki,Finland,Europe,24.938379,60.16985569999999,3600,7200,Europe/Helsinki,Eastern European Summer Time
Paris,France,Europe,2.3513765,48.8575475,3600,3600,Europe/Paris,Central European Summer Time
Libreville,Gabon,Africa,9.440283299999999,0.4077972,0,3600,Africa/Libreville,West Africa Standard Time
Banjul,Gambia,Africa,-16.5753186,13.454375,0,0,Africa/Banjul,Greenwich Mean Time
