Algeria,Algiers,Africa
Angola,Luanda,Africa
Argentina,Buenos Aires,America
Australia,Canberra,Oceania
Belgium,Brussels,Europe
Brazil,Brasilia,America
China,Beijing,Asia
Colombia,Bogota,America
Ecuador,Quito,America
France,Paris,Europe
Germany,Berlin,Europe
India,New Delhi,Asia
Italy,Roma,Europe
Japan,Tokyo,Asia
Mexico,Mexico City,America
Morocco,Rabat,Africa
Peru,Lima,America
Portugal,Lisbon,Europe
Russia,Moscow,Europe
South Africa,Pretoria,Africa
Spain,Madrid,Europe
United Kingdom,London,Europe
United States,Washington D.C.,America
Spain,Almendralejo,Europe
Israel,Tel Aviv,Asia
